EE x,EE y, EE z,arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,timestamp
0.664874,-0.0596798,-0.3275470,0,0,0,0,0,1.89112e-143
0.664874,-0.0596798,-0.3275470,0,0,0,0,0,1.89112e-143
0.66488,-0.059674,-0.32754-0.134453,0.0358584,1.1569,-0.267951,-1.35165,0.0847201,1.69939e+09
0.664882,-0.0596721,-0.327537-0.13446,0.035866,1.15692,-0.267951,-1.35165,0.0847111,1.69939e+09
0.664879,-0.0596698,-0.327541-0.134453,0.035851,1.15691,-0.267969,-1.35164,0.0847201,1.69939e+09
0.664871,-0.0596755,-0.32755-0.134468,0.0358584,1.15692,-0.267951,-1.35164,0.0847292,1.69939e+09
0.664882,-0.0596772,-0.327539-0.13446,0.035851,1.1569,-0.267951,-1.35163,0.0847201,1.69939e+09
0.66488,-0.0596731,-0.327542-0.134453,0.0358584,1.15691,-0.26796,-1.35165,0.0847201,1.69939e+09
0.664878,-0.0596807,-0.327539-0.134468,0.035851,1.15691,-0.26796,-1.35166,0.0847292,1.69939e+09
0.664883,-0.0596728,-0.327542-0.13446,0.0358584,1.1569,-0.267951,-1.35165,0.0847385,1.69939e+09
0.664879,-0.0596771,-0.327542-0.134453,0.0358438,1.15691,-0.26796,-1.35165,0.0847476,1.69939e+09
0.664878,-0.0596706,-0.327548-0.134453,0.0358584,1.15691,-0.26796,-1.35162,0.0847111,1.69939e+09
0.664877,-0.0596766,-0.327544-0.134468,0.0358584,1.15692,-0.267941,-1.35165,0.0847385,1.69939e+09
0.66488,-0.0596719,-0.327543-0.134468,0.0358438,1.15693,-0.267969,-1.35164,0.0847111,1.69939e+09
0.664877,-0.0596716,-0.327544-0.134453,0.0358584,1.15691,-0.267951,-1.35166,0.0847292,1.69939e+09
0.664874,-0.0596752,-0.327547-0.13446,0.0358584,1.15692,-0.26796,-1.35165,0.0847292,1.69939e+09
0.664872,-0.059676,-0.327552-0.134468,0.035851,1.15694,-0.267951,-1.35165,0.0847201,1.69939e+09
0.664874,-0.0596788,-0.32755-0.134468,0.0358584,1.15692,-0.267969,-1.35163,0.0847018,1.69939e+09
0.664876,-0.0596826,-0.327545-0.134468,0.0358584,1.15691,-0.267941,-1.35165,0.0847292,1.69939e+09
0.664874,-0.0596743,-0.327547-0.13446,0.0358584,1.15692,-0.267969,-1.35165,0.0847385,1.69939e+09
0.66487,-0.0596697,-0.327556-0.134453,0.035866,1.15692,-0.26796,-1.35164,0.0847292,1.69939e+09
0.66487,-0.0596697,-0.327556-0.134453,0.035866,1.15692,-0.26796,-1.35164,0.0847292,1.69939e+09
0.664877,-0.0596694,-0.327548-0.134453,0.035866,1.1569,-0.267969,-1.35164,0.0847111,1.69939e+09
0.664875,-0.0596713,-0.327549-0.134453,0.0358584,1.15692,-0.267951,-1.35163,0.0847201,1.69939e+09
0.664891,-0.0594782,-0.327545-0.134165,0.035851,1.15692,-0.267969,-1.35165,0.0847385,1.69939e+09
0.664987,-0.0584073,-0.327547-0.13255,0.0358584,1.15692,-0.267941,-1.35165,0.0847292,1.69939e+09
0.665326,-0.054282,-0.327569-0.126355,0.0358953,1.15691,-0.26796,-1.35165,0.0846472,1.69939e+09
0.665326,-0.054282,-0.327569-0.126355,0.0358953,1.15691,-0.26796,-1.35165,0.0846472,1.69939e+09
0.66711,0.0103359,-0.328178-0.034626,0.035357,1.15684,-0.297169,-1.34596,0.0752788,1.69939e+09
0.662182,0.0905595,-0.3254430.078763,0.0297008,1.15603,-0.337536,-1.33936,0.0575833,1.69939e+09
0.659392,0.112401,-0.3247360.109996,0.0276723,1.15586,-0.347745,-1.33452,0.0542598,1.69939e+09
0.646004,0.178607,-0.322270.205456,0.0223627,1.15456,-0.380223,-1.32585,0.040956,1.69939e+09
0.63476,0.217331,-0.3207480.322194,0.0150836,1.15112,-0.418088,-1.31431,0.0223475,1.69939e+09
0.621451,0.257375,-0.3182640.387204,0.0111895,1.15022,-0.437336,-1.31034,0.0163302,1.69939e+09
0.603324,0.299447,-0.316180.448969,0.00598288,1.15,-0.454457,-1.30496,0.0070169,1.69939e+09
0.559864,0.378586,-0.3111850.51549,0.000672817,1.14991,-0.473267,-1.29804,-0.00180364,1.69939e+09
0.534036,0.41657,-0.3079260.641284,-0.00943089,1.1491,-0.504439,-1.28656,-0.0220284,1.69939e+09
0.478362,0.483237,-0.3024040.704767,-0.0164371,1.14886,-0.517596,-1.28033,-0.0328851,1.69939e+09
0.478362,0.483237,-0.3024040.704767,-0.0164371,1.14886,-0.517596,-1.28033,-0.0328851,1.69939e+09
0.407553,0.547573,-0.2957250.841469,-0.0301321,1.15057,-0.543482,-1.26905,-0.0583324,1.69939e+09
0.367344,0.577361,-0.2911270.977469,-0.0485766,1.15629,-0.562164,-1.25561,-0.0967824,1.69939e+09
0.28797,0.623793,-0.2814271.04471,-0.0613942,1.16217,-0.570154,-1.25139,-0.122541,1.69939e+09
0.235328,0.646883,-0.2747371.15973,-0.0841608,1.17639,-0.575787,-1.23982,-0.179727,1.69939e+09
0.21945,0.653067,-0.2715021.15127,-0.0866017,1.17782,-0.57902,-1.23971,-0.179754,1.69939e+09
0.21759,0.653834,-0.2713151.15367,-0.0866535,1.17761,-0.578892,-1.23973,-0.179773,1.69939e+09
0.217785,0.653712,-0.2713821.15371,-0.0866754,1.17762,-0.578892,-1.23974,-0.179773,1.69939e+09
0.217857,0.653683,-0.2713821.15383,-0.0866754,1.17761,-0.578892,-1.23977,-0.179764,1.69939e+09
0.217843,0.65369,-0.2713821.1538,-0.0866682,1.17763,-0.578874,-1.23973,-0.179754,1.69939e+09
0.217845,0.65369,-0.2713751.1538,-0.0866828,1.17763,-0.578901,-1.23973,-0.179782,1.69939e+09
0.217872,0.653676,-0.2713861.15375,-0.0866754,1.17764,-0.57891,-1.23972,-0.179773,1.69939e+09
0.217831,0.653689,-0.2713861.15382,-0.0866754,1.17765,-0.578883,-1.23972,-0.179754,1.69939e+09
0.217844,0.653693,-0.2713661.1538,-0.0866976,1.17764,-0.578883,-1.23974,-0.179745,1.69939e+09
0.217874,0.653684,-0.2713681.15383,-0.0866902,1.17766,-0.578901,-1.23972,-0.1798,1.69939e+09
0.217863,0.653689,-0.2713681.15377,-0.0866828,1.17766,-0.578892,-1.23972,-0.179764,1.69939e+09
0.217859,0.653679,-0.2713851.15377,-0.0866828,1.17766,-0.578892,-1.23972,-0.179764,1.69939e+09
